School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 43 - QUEENS,Q,27,SANDY-INTERIOR/HEATING/FLOOD/SHINGLE ROOF/CLIMATE,15000000,CIP,Q043,160 BEACH 29TH STREET,Queens,11691,QUEENS   ,40.593834,-73.76174,14,31,99802,4467711,4158200001,Far Rockaway-Bayswater                                                     ,"(40.593834, -73.76174)",
P.S. 100 - QUEENS,Q,27,C OF O,1124600,CIP,Q100,111-11 118 STREET,Queens,11420,QUEENS   ,40.679984,-73.822078,10,28,102,4250416,4116230001,South Ozone Park                                                           ,"(40.679984, -73.822078)",11/13/2017
YOUNG SCHOLAR'S ACADEMY - BROO,K,16,STRUCTURAL DEFECTS/EXT MASONRY,3777000,CIP,K304,280 HART STREET,Brooklyn,11206,BROOKLYN ,40.694086,-73.940744,3,36,281,3049420,3017730014,Stuyvesant Heights                                                         ,"(40.694086, -73.940744)",11/13/2017
BROOKLYN TECH HS - K,K,13,LOW VOLT ELEC SYS/KITCHEN FIRE SUPRESSION SYS,4291000,CIP,K430,29 FT GREENE PLACE,Brooklyn,11217,BROOKLYN ,40.688834,-73.976905,2,35,33,3058752,3020980013,Fort Greene                                                                ,"(40.688834, -73.976905)",11/13/2017
P.S. 333 - QUEENS,Q,27,SANDY NEW A/C CHILLERS,1278870.32,CIP,Q198,3-65 BEACH 56 STREET,Queens,11692,QUEENS   ,40.593967,-73.786182,14,31,97204,4301929,4158940011,Hammels-Arverne-Edgemere                                                   ,"(40.593967, -73.786182)",11/13/2017
MONROE ACAD FOR VISUAL ARTS -,X,12,BOILER/CLIMATE CONTROL/WATER INFILTRATION,8511800,CIP,X420,1300 BOYNTON AVENUE,Bronx,10472,BRONX    ,40.831601,-73.878912,9,18,56,2027459,2038640001,West Farms-Bronx River                                                     ,"(40.831601, -73.878912)",11/13/2017
M.S./H.S. 342 - BRONX,X,10,BOILER FOR SWIMMING,2152000,CIP,X430,2780 RESERVOIR AVENUE,Bronx,10468,BRONX    ,40.870293,-73.898309,7,11,409,2015241,2032470070,Van Cortlandt Village                                                      ,"(40.870293, -73.898309)",
P.S. 884 - BROOKLYN,K,84,Lease,0,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226,BROOKLYN ,40.648568,-73.957639,14,40,794,3117232,3051030101,Erasmus                                                                    ,"(40.648568, -73.957639)",11/13/2017
P.S. 185 - MANHATTAN,M,3,PLAY YARD SURFACE DEFECTS,2330000,CIP,M185,20 WEST 112 STREET,Manhattan,10026,MANHATTAN,40.798511,-73.949251,10,9,186,1051410,1015950015,Central Harlem South                                                       ,"(40.798511, -73.949251)",11/13/2017
BARD COLLEGE HS - MANHATTAN,M,1,NON-SANDY:MASONRY/ROOF/PARAPET/SANDY FLOOD/MSNRY,6913000,CIP,M097,525 EAST HOUSTON STREET,Manhattan,10002,MANHATTAN,40.719029,-73.975891,3,2,1002,1004062,1003250025,Lower East Side                                                            ,"(40.719029, -73.975891)",11/13/2017
